locus_chr	locus_start	locus_end	locus_name	locus_ngene	locus_width	locus_pheno	locus_mindistgene	locus_nspecialgene	locus_ninteractiongene	locus_hisig_type	gene_start	gene_end	gene_tss	gene_strand	gene_locusdist_kbp	gene_closestsnp	gene_name	gene_type	gene_prob_selected	gene_signet	gene_mindist	gene_special	gene_signet+	distance_score	special_score	ppi_score	TF_score	exp_score	gene_hisig_type	ppi_deg	ppi_deg_active_cnt	ppi_deg_active_names	TF_indeg	TF_in_active_cnt	TF_in_active_names	TF_outdeg	TF_out_active_cnt	TF_out_active_names	AFib_pops_score	Cardio_pops_score
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	5990927	6101193	5990927	+	98.135	rs2273042	KCNAB2	protein_coding	0.0	.	.	.	.	-13.294305611057007	0.0	94.08437963572472	1.9097011416987888	0.002313271835607	poorsig	3	0		0	0	.	0	0	.	-0.147109230338388	-0.1110792533822168
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6101787	6180321	6180321	-	31.756	rs145358377	CHD5	protein_coding	0.0	.	.	.	.	-12.88459529074529	0.0	94.08437963572472	1.9097011416987888	0.0034846695594806	poorsig	3	0		0	0	.	0	0	.	-0.2460901200146689	0.0517779823672457
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6205475	6221299	6205475	+	6.602	rs145358377	RNF207	protein_coding	1.0	signet	.	exome	signet+	-12.72933755264859	3.957633516680198	95.57854330813564	1.9097011416987888	0.949018363664878	exome	1	1	KCNH2:exome,omim	0	0	.	0	0	.	-0.0370916459463243	0.3479225211538938
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6185020	6209389	6209389	-	2.688	rs145358377	RPL22	protein_coding	0.0	.	mindist	.	.	-12.705179216522705	0.0	91.2710632332482	1.9097011416987888	0.0002501918872646	mindist	19	2	CALM1:omim;FGFR1	0	0	.	0	0	.	0.1021810786300009	0.1340650177820979
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6221193	6235972	6235972	-	16.662	rs846111	ICMT	protein_coding	0.0	.	.	.	.	-12.791430772226104	0.0	93.80628464960208	1.9097011416987888	0.0028963251801231	poorsig	4	0		0	0	.	0	0	.	-0.0898646442591018	0.0856412982145467
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6244179	6245578	6244179	+	24.869	rs846111	HES3	protein_coding	0.0	.	.	.	.	-12.842086741716429	0.0	94.92323125471955	1.9097011416987888	0.008412623621168	poorsig	0	0		0	0	.	0	0	.	-0.0227202303127059	-0.3382929792499798
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6247353	6261098	6261098	-	41.788	rs846111	GPR153	protein_coding	0.0	.	.	.	.	-12.946515686252411	0.0	94.92323125471955	1.9097011416987888	0.0075784178068809	poorsig	0	0		0	0	.	0	0	.	-0.2956411179628651	-0.0384048908970028
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6264269	6393767	6393767	-	174.457	rs846111	ACOT7	protein_coding	0.0	.	.	.	.	-13.76538699322352	0.0	96.32690961695202	1.9097011416987888	0.0136005672376982	poorsig	5	3	ANK2:omim;CAV1:coloc;DCTD	0	0	.	0	0	.	0.2896420810525015	-0.0097631342325048
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6412418	6424670	6424670	-	205.36	rs846111	HES2	protein_coding	0.0	.	.	.	.	-13.956129216345184	0.0	94.92323125471955	1.9097011416987888	0.0027612705421753	poorsig	0	0		0	0	.	0	0	.	-0.0286962191338021	-0.1028122653064856
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	HR+JT+QT	RPL22	1.0	8.0	exome	6424776	6461367	6424776	+	205.466	rs846111	ESPN	protein_coding	0.0	.	.	.	.	-13.956783478897393	0.0	94.92323125471955	1.9097011416987888	0.0027594645371282	poorsig	0	0		0	0	.	0	0	.	-0.2015972643541039	-0.1275193794405793
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	JT+QT	RPL22	1.0	8.0	exome	6460786	6466175	6466175	-	246.865	rs846111	TNFRSF25	protein_coding	0.0	.	.	.	.	-14.212310039264146	0.0	94.92323125471955	1.9097011416987888	0.0021372289189735	poorsig	0	0		0	0	.	0	0	.	-0.0182543620650802	0.126246356837053
1	5862811	6520074	rs145358377+rs200882245+rs2273042+rs709209+rs846111	13	657.263	JT+QT	RPL22	1.0	8.0	exome	6467122	6520074	6467122	+	247.812	rs846111	PLEKHG5	protein_coding	0.0	.	.	.	.	-14.218155196216424	0.0	95.29727300762654	1.9097011416987888	0.0030885653288106	poorsig	2	1	GNB4:coloc	0	0	.	0	0	.	0.2712908386223919	0.3565508884982423
1	9823984	10181239	rs182770070	6	357.255	HR	LZIC	0.0	4.0	poorsig	9728926	9823984	9823984	-	116.434	rs182770070	CLSTN1	protein_coding	0.0	.	.	.	.	-13.407252313348156	0.0	95.11197156630284	1.917879406169341	0.1196395851065802	poorsig	7	2	SLC8A1;SLK	0	0	.	0	0	.	-0.3861177724326848	0.0996942593466964
1	9823984	10181239	rs182770070	6	357.255	HR	LZIC	0.0	4.0	poorsig	9848276	9910336	9910336	-	30.082	rs182770070	CTNNBIP1	protein_coding	1.0	signet	.	.	signet+	-12.87426288025098	0.0	95.57854330813564	1.9097011416987888	0.3224237507074237	poorsig	2	1	TCF7L2	0	0	.	0	0	.	-0.2045635171108216	-0.012636054134822
1	9823984	10181239	rs182770070	6	357.255	HR	LZIC	0.0	4.0	poorsig	9922113	9943407	9943407	-	2.989	rs182770070	LZIC	protein_coding	0.0	.	mindist	.	.	-12.707037075279448	0.0	95.20391870161954	1.917879406169341	0.2641840816909139	mindist	0	0		0	0	.	0	0	.	0.1629108003246143	0.0538940590515767
1	9823984	10181239	rs182770070	6	357.255	HR	LZIC	0.0	4.0	poorsig	9943428	9985501	9943428	+	3.01	rs182770070	NMNAT1	protein_coding	0.0	.	.	.	.	-12.707166693332244	0.0	93.52985244055668	1.917879406169341	0.0495236463809992	poorsig	6	0		0	0	.	0	0	.	0.2287704239472529	0.1258978539318239
1	9823984	10181239	rs182770070	6	357.255	HR	LZIC	0.0	4.0	poorsig	9997206	10016021	9997206	+	56.788	rs182770070	RBP7	protein_coding	0.0	.	.	.	.	-13.03910000967813	0.0	95.20391870161954	1.917879406169341	0.1895368007532271	poorsig	0	0		0	0	.	0	0	.	-0.1623773513282648	0.226211144038826
1	9823984	10181239	rs182770070	6	357.255	HR	LZIC	0.0	4.0	poorsig	10032832	10181239	10032832	+	92.414	rs182770070	UBE4B	protein_coding	0.0	.	.	.	.	-13.258993950102438	0.0	94.18094935856016	1.917879406169341	0.0546921353608558	poorsig	6	1	PDE3A	0	0	.	0	0	.	0.8654340936509635	0.4503379124938203
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11654375	11663327	11654375	+	172.871	rs7537765	FBXO44	protein_coding	0.0	.	.	.	.	-13.755597744093306	0.0	94.54576118156515	1.8912746180022408	0.0246200082421166	poorsig	3	0		0	0	.	0	0	.	-0.1928372222958205	0.0686386970685479
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11637018	11655785	11655785	-	171.461	rs7537765	FBXO2	protein_coding	0.0	.	.	.	.	-13.746894817691288	0.0	94.26665955422746	1.8912746180022408	0.0187869175874101	poorsig	4	0		0	0	.	0	0	.	0.0538812990166997	-0.1867009565352817
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11664200	11674354	11664200	+	163.046	rs7537765	FBXO6	protein_coding	0.0	.	.	.	.	-13.69495501224946	0.0	84.69010556105361	1.8912746180022408	1.372044339009614e-06	poorsig	33	2	GNB4:coloc;STK38	0	0	.	0	0	.	0.0743178356628796	0.1812717159440824
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11674480	11691650	11691650	-	135.596	rs7537765	MAD2L2	protein_coding	0.0	.	.	.	.	-13.525525700380395	0.0	91.56041144974492	1.8912746180022408	0.0015656197741576	poorsig	20	3	ATP2A2;DTWD2;TCF7L2	0	0	.	0	0	.	0.0617562841266944	0.2603974956552928
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11691710	11725857	11691710	+	135.536	rs7537765	DRAXIN	protein_coding	0.0	.	.	.	.	-13.525155363086691	0.0	95.38765447314444	1.8912746180022408	0.0719445100490236	poorsig	0	0		0	0	.	0	0	.	-0.0938839276202626	-0.2257224425800935
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11736084	11754802	11736084	+	91.162	rs7537765	AGTRAP	protein_coding	0.0	.	.	.	.	-13.251266245240505	0.0	95.95502418023791	1.8912746180022408	0.1668598023679831	poorsig	8	3	NDRG4:coloc;PBX3;SENP2:exome	0	0	.	0	0	.	-0.1794354838256914	-0.1740402071808331
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11761787	11789585	11761787	+	65.459	rs7537765	C1orf167	protein_coding	0.0	.	.	.	.	-13.092619920906422	0.0	95.38765447314444	1.8912746180022408	0.1108780080425119	poorsig	0	0		0	0	.	0	0	.	-0.0003076230718278	-0.1112265763284296
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11806096	11848079	11806096	+	21.15	rs7537765	CLCN6	protein_coding	0.0	.	.	.	.	-12.81913200179508	0.0	95.38765447314444	1.8912746180022408	0.1457537406017085	poorsig	0	0		0	0	.	0	0	.	0.0532459917433002	0.2234566748124876
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11785723	11806455	11806455	-	20.791	rs7537765	MTHFR	protein_coding	0.0	.	mindist	.	.	-12.81691615032109	0.0	95.10625610008488	1.8912746180022408	0.1102483962594281	mindist	1	0		0	0	.	0	0	.	0.0942601141905284	0.3570664041087282
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11845709	11848345	11848345	-	21.099	rs7537765	NPPA	protein_coding	1.0	signet	.	.	signet+	-12.818817215095432	0.0	95.57854330813564	1.9097011416987888	0.1797466994955322	poorsig	6	2	OBSCN;PM20D1:exome	1	1	TBX5	0	0	.	0.1016637639115406	0.0553976820781783
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11857464	11858945	11858945	-	31.699	rs7537765	NPPB	protein_coding	0.0	.	.	.	.	-12.884243470316273	0.0	94.8256258519795	1.9097011416987888	0.0792973668695004	poorsig	2	0		1	1	NKX2-5	0	0	.	-0.2777656833977493	0.1247455583949351
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11919591	11926428	11926428	-	99.182	rs7537765	KIAA2013	protein_coding	0.0	.	.	.	.	-13.300767996832125	0.0	94.26665955422746	1.8912746180022408	0.029349854106762	poorsig	4	0		0	0	.	0	0	.	0.1008689697112698	0.2270675073455168
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11934205	11975538	11934205	+	106.959	rs7537765	PLOD1	protein_coding	0.0	.	.	.	.	-13.348769882384245	0.0	92.70931117490252	1.8912746180022408	0.005894014300396	poorsig	12	1	CAND2	0	0	.	0	0	.	0.0848048021287415	0.0974158302229286
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	11980181	12015211	11980181	+	152.935	rs7537765	MFN2	protein_coding	0.0	.	.	.	.	-13.6325470059723	0.0	93.43390777253587	1.9097011416987888	0.0093295175904398	poorsig	7	0		1	1	PPARGC1A	0	0	.	0.1829578202168244	0.1542044836958536
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	12019466	12032045	12019466	+	192.22	rs7537765	MIIP	protein_coding	0.0	.	.	.	.	-13.875025349024254	0.0	94.26665955422746	1.8912746180022408	0.0165275754157368	poorsig	4	0		0	0	.	0	0	.	0.1675595828335031	0.093495366135408
1	11654375	12144207	rs7537765	16	489.832	QRS	MTHFR	0.0	13.0	poorsig	12063303	12144207	12063303	+	236.057	rs7537765	TNFRSF8	protein_coding	0.0	.	.	.	.	-14.145599948091805	0.0	95.10625610008488	1.8912746180022408	0.0291965972529534	poorsig	1	0		0	0	.	0	0	.	0.0168199323071963	-0.1596206491633388
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23084030	23177808	23177808	-	206.174	rs2298632	LUZP1	protein_coding	0.0	.	.	.	.	-13.961153458963086	0.0	94.17867749489848	1.9097011416987888	0.0082792839774595	poorsig	5	0		0	0	.	0	0	.	-0.0545326581532435	0.6160350513020698
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23191895	23217502	23217502	-	166.48	rs2298632	HTR1D	protein_coding	0.0	.	.	.	.	-13.71615065002572	0.0	95.57854330813564	1.9097011416987888	0.0428894172211327	poorsig	0	0		0	0	.	0	0	.	-0.1144087028926044	-0.3598805701430147
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23303771	23344336	23303771	+	80.211	rs2298632	HNRNPR	protein_coding	0.0	.	.	.	.	-13.183673516851504	0.0	88.5020802852475	1.9097011416987888	6.170682248675827e-05	poorsig	21	0		0	0	.	0	0	.	0.0265679996867521	0.2138299342269266
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23359448	23369836	23369836	-	14.146	rs2298632	ZNF436	protein_coding	0.0	.	mindist	.	.	-12.775901295043498	0.0	94.7363386432633	1.9097011416987888	0.0473075452020542	mindist	3	0		0	0	.	0	0	.	0.0505368914792626	0.1656382996306123
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23380909	23424748	23424748	-	40.766	rs2298632	TCEA3	protein_coding	1.0	signet	.	coloc	signet+	-12.940207607683003	2.054985245702309	95.57854330813564	1.9097011416987888	0.7274559146026938	coloc	0	0		0	0	.	0	0	.	0.1922514980921085	-0.1609347871114591
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23428563	23484568	23428563	+	44.581	rs2298632	ASAP3	protein_coding	0.0	.	.	.	.	-12.96375488727428	0.0	95.29704333695744	1.9097011416987888	0.0686843177879948	poorsig	1	0		0	0	.	0	0	.	-0.2401866913132751	-0.0740329483872814
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23506438	23531233	23531233	-	147.251	rs2298632	E2F2	protein_coding	0.0	.	.	.	.	-13.59746371968218	0.0	95.01630929109554	1.9097011416987888	0.0275245414751629	poorsig	2	0		0	0	.	0	0	.	-0.3370964546684419	-0.0244065396207956
1	23177808	23559501	rs2298632	8	381.693	QT	ZNF436	1.0	6.0	coloc	23557926	23559501	23559501	-	175.519	rs2298632	ID3	protein_coding	0.0	.	.	.	.	-13.77194196332206	0.0	96.22981588876414	1.9097011416987888	0.0777972729110153	poorsig	9	4	LMO4;NKX2-5;PDLIM5;SREBF1	0	0	.	0	0	.	0.1201974692968082	0.3402739833136238
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	25818640	25832942	25818640	+	242.292	rs2997447	MTFR1L	protein_coding	0.0	.	.	.	.	-14.18408416519576	0.0	94.17867749489848	1.9097011416987888	0.0099468802171867	poorsig	5	0		0	0	.	0	0	.	0.1129469525318936	0.311991261100607
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	25831913	25859458	25859458	-	201.474	rs2997447	AUNIP	protein_coding	0.0	.	.	.	.	-13.932143704289697	0.0	95.29704333695744	1.9097011416987888	0.0391564538817199	poorsig	1	0		0	0	.	0	0	.	-0.1984149824747019	-0.09387092170358
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	25861484	25875708	25875708	-	185.224	rs2997447	PAQR7	protein_coding	0.0	.	.	.	.	-13.8318440205785	0.0	95.57854330813564	1.9097011416987888	0.0573610162880356	poorsig	0	0		0	0	.	0	0	.	-0.1886692506341754	0.0961293815114003
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	25884181	25906991	25884181	+	176.751	rs2997447	STMN1	protein_coding	0.0	.	.	.	.	-13.779546222419423	0.0	94.17867749489848	1.955500609805128	0.0156050778871403	poorsig	5	0		0	0	.	0	0	.	-0.2444035951252161	-0.1955159753898724
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	25959767	25998117	25998117	-	62.815	rs2997447	PAFAH2	protein_coding	0.0	.	.	.	.	-13.076300390830584	0.0	95.57854330813564	1.9097011416987888	0.1221083229223358	poorsig	0	0		0	0	.	0	0	.	-0.0799394413982623	0.1881912506502932
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26019884	26036464	26019884	+	41.048	rs2997447	EXTL1	protein_coding	1.0	signet	.	.	signet+	-12.941948192963409	0.0	95.57854330813564	1.9097011416987888	0.1396669613928045	poorsig	0	0		0	0	.	0	0	.	-0.0556897624380296	-0.0867107969870673
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26037252	26046118	26046118	-	14.814	rs2997447	SLC30A2	protein_coding	0.0	.	.	.	.	-12.780024383580056	0.0	93.3478487890963	1.9097011416987888	0.0176456630176778	poorsig	8	0		0	0	.	0	0	.	-0.1156236348234431	-0.1048806819582277
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26051301	26068436	26068436	-	7.504	rs2997447	TRIM63	protein_coding	0.0	.	mindist	.	.	-12.73490495663059	0.0	93.66573838402196	1.9097011416987888	0.0253682667826024	mindist	24	6	BCAT1;GABPB1;JOSD1;NRAP:exome;SENP2:exome;TTN:exome	0	0	.	0	0	.	0.3159980247362349	-0.0750522912730225
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26111165	26125555	26111165	+	50.233	rs2997447	PDIK1L	protein_coding	0.0	.	.	.	.	-12.99864066034109	0.0	95.29704333695744	1.9097011416987888	0.0995906518150352	poorsig	1	0		0	0	.	0	0	.	0.0342386799573924	-0.0192646066130067
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26159079	26163962	26159079	+	98.147	rs2997447	FAM110D	protein_coding	0.0	.	.	.	.	-13.294379678515748	0.0	95.57854330813564	1.9097011416987888	0.0981826241194732	poorsig	0	0		0	0	.	0	0	.	-0.2989349883090799	0.1804479340078593
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26164101	26168963	26168963	-	108.031	rs2997447	C1orf232	protein_coding	0.0	.	.	.	.	-13.355386575365069	0.0	95.57854330813564	1.9097011416987888	0.0923718574368138	poorsig	0	0		0	0	.	0	0	.		
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26169908	26170873	26169908	+	108.976	rs2997447	ZNF593	protein_coding	0.0	.	.	.	.	-13.361219387740888	0.0	94.27394053804886	1.9097011416987888	0.0249129257846619	poorsig	8	1	MAP3K7	0	0	.	0	0	.	-0.0299664329109143	0.1428890739253517
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26169516	26171831	26171831	-	110.899	rs2997447	ZNF593OS	protein_coding	0.0	.	.	.	.	-13.373088698004066	0.0	95.57854330813564	1.9097011416987888	0.0907510675236841	poorsig	0	0		0	0	.	0	0	.		
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26177484	26189884	26177484	+	116.552	rs2997447	CNKSR1	protein_coding	0.0	.	.	.	.	-13.407980643359103	0.0	94.7363386432633	1.9097011416987888	0.0377514402088372	poorsig	3	0		0	0	.	0	0	.	-0.0310088056921367	0.0457898110230972
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26190561	26202968	26190561	+	129.629	rs2997447	CATSPER4	protein_coding	0.0	.	.	.	.	-13.488695656521646	0.0	95.57854330813564	1.9097011416987888	0.080843345662473	poorsig	0	0		0	0	.	0	0	.	-0.0496512721954562	-0.2026639094165496
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26234200	26278808	26234200	+	173.268	rs2997447	CEP85	protein_coding	0.0	.	.	.	.	-13.758048142519971	0.0	92.25054483898003	1.9097011416987888	0.0022148004801332	poorsig	11	0		0	0	.	0	0	.	0.3108825795233173	0.2178200024368216
1	25818640	26281522	rs2997447	17	462.882	QRS	TRIM63	0.0	9.0	poorsig	26280086	26281522	26280086	+	219.154	rs2997447	SH3BGRL3	protein_coding	0.0	.	.	.	.	-14.041269760167474	0.0	95.57854330813564	1.9097011416987888	0.0465226445793846	poorsig	0	0		0	0	.	0	0	.	-0.1536660967177696	-0.0936609262778102
1	44355260	44788170	rs272564	7	432.91	HR	TMEM53	0.0	4.0	poorsig	44221070	44355260	44355260	-	191.341	rs272564	ERI3	protein_coding	1.0	signet	.	.	signet+	-13.869599907671509	0.0	95.57854330813564	1.9097011416987888	0.2920939070974763	poorsig	1	1	KCNJ5:coloc,omim	0	0	.	0	0	.	0.1634937178283552	0.2449889270825141
1	44355260	44788170	rs272564	7	432.91	HR	TMEM53	0.0	4.0	poorsig	44405194	44651724	44405194	+	141.407	rs272564	RNF220	protein_coding	0.0	.	.	.	.	-13.56139286727552	0.0	94.36323405513151	1.9097011416987888	0.1179160744101895	poorsig	2	0		0	0	.	0	0	.	-0.1955123486083492	-0.0961125991014087
1	44355260	44788170	rs272564	7	432.91	HR	TMEM53	0.0	4.0	poorsig	44635238	44674481	44674481	-	127.88	rs272564	TMEM53	protein_coding	0.0	.	mindist	.	.	-13.477900324410207	0.0	94.92323125471955	1.9097011416987888	0.2244073394388231	mindist	0	0		0	0	.	0	0	.	-0.0551656293834094	0.0295944276956432
1	44355260	44788170	rs272564	7	432.91	HR	TMEM53	0.0	4.0	poorsig	44674692	44725591	44674692	+	128.091	rs272564	ARMH1	protein_coding	0.0	.	.	.	.	-13.479202677226397	0.0	94.92323125471955	1.9097011416987888	0.2241152721369481	poorsig	0	0		0	0	.	0	0	.		
1	44355260	44788170	rs272564	7	432.91	HR	TMEM53	0.0	4.0	poorsig	44739818	44767767	44739818	+	193.217	rs272564	KIF2C	protein_coding	0.0	.	.	.	.	-13.881179120387952	0.0	93.25236299070887	1.955500609805128	0.0295213959879313	poorsig	6	0		0	0	.	0	0	.	-0.0335930026157166	-0.1373869887179989
